date,depositCount,deposits,withdrawCount,withdrawals,svZCHFPrice,totalAssets,totalShares,impliedYield,nativeYield
2025-12-13,5,4053.136132963626,21,3251.6478784159062,1.0061134097553357,317937.5102771809,316005.63832510315,2.9578,4
2025-12-14,3,544.6243801470738,15,6114.6553448465,1.0062344941131565,312405.3060307684,310469.68460975523,4.3927,4
2025-12-15,37,33951.36713286815,29,7807.319869745832,1.0063269382854998,338578.7597220555,336450.06095027045,3.3533,4
2025-12-16,20,10302.065020144311,39,3099.06003034682,1.0064243467863172,345814.9189692062,343607.4654527701,3.533,4
2025-12-17,20,11680.322154455536,37,6448.545992954139,1.006527107564494,351082.2344428938,348805.5431437032,3.7268,4
2025-12-18,20,21659.437621089794,38,6753.503214570792,1.0066143235606901,366019.1346955979,363614.07356183935,3.1627,4
2025-12-19,19,22732.572801658855,56,4584.225377553911,1.0067052807285737,384201.5672257358,381642.54681139754,3.2981,4
2025-12-20,16,7532.712230319555,39,2694.0202668970214,1.0068007125848444,389077.0252050582,386448.8973256167,3.46,4
2025-12-21,12,1356.3223684292502,38,1331.5401593074528,1.006911990621665,389144.7855085752,386473.48440881923,4.0342,4
2025-12-22,34,28625.150374908917,50,19710.158764349973,1.0070056011417703,398096.1929898847,395326.6918659761,3.3933,4
2025-12-23,33,21592.143218550034,34,16241.563633002203,1.0070977534363683,403483.2314509076,400639.59042125,3.3401,4
2025-12-24,16,11163.226935876333,47,2973.7830371744453,1.0071933558720851,411711.3572762972,408770.9225601614,3.4648,4
2025-12-25,8,6781.524049180411,42,2808.5131640896025,1.0072995877558264,415728.019684153,412715.3676398875,3.8497,4
2025-12-26,10,11842.124094686622,58,6635.9830178396505,1.0074002011120693,420975.85286687367,417883.4314328688,3.6457,4
2025-12-27,10,7260.910552518771,46,7888.990825058625,1.0075057234921947,420391.864638021,417260.0262565931,3.8232,4
2025-12-28,8,236.0686115005584,48,2235.2842336171316,1.0076210842076774,418440.6748757412,415275.8228603102,4.1792,4
2025-12-29,39,24971.733898780694,54,20576.451155457737,1.0077094401840356,422872.6479210758,419637.4778863315,3.2006,4
2025-12-30,24,17559.60591365082,39,11239.582897940096,1.0078052102856547,429233.07152053533,425908.76405458595,3.4688,4
2025-12-31,19,17363.062020800142,16,2447.5298385523697,1.0079060153625106,444192.7660158448,440708.5177044839,3.6508,4
2026-01-01,6,242.16016637700437,8,3895.0661232130883,1.0080088196894068,440584.9660013706,437084.4355678614,3.7229,4
2026-01-02,13,9977.357369348449,13,3107.6368655894917,1.0081164210153055,447501.8912161519,443899.01988250396,3.8962,4
2026-01-03,4,2849.3166157279475,9,3599.7042012602265,1.008217770589507,446796.2866003407,443154.5442202412,3.6694,4
2026-01-04,5,1083.9275946822627,13,3967.253086668062,1.0083290271536436,443962.1761988588,440294.9476244824,4.0277,4
